iter	Accuracy	MultiClass
0	0.5453181273	1.089619259
1	0.569027611	1.080947609
2	0.5888355342	1.071467784
3	0.574729892	1.064345559
4	0.5948379352	1.055853578
5	0.593637455	1.048630525
6	0.600240096	1.040418731
7	0.6056422569	1.033343476
8	0.6092436975	1.027018181
9	0.6143457383	1.020137289
10	0.6215486194	1.013579011
11	0.6290516206	1.006965494
12	0.631452581	1.000733339
13	0.6263505402	0.9956944687
14	0.6329531813	0.9891373731
15	0.6359543818	0.982905205
16	0.6413565426	0.9769985879
17	0.6446578631	0.9712321581
18	0.6464585834	0.9654792924
19	0.6491596639	0.9599127001
20	0.6566626651	0.954157686
21	0.6545618247	0.9500932125
22	0.656062425	0.9458020636
23	0.6572629052	0.9407990091
24	0.6659663866	0.9357715169
25	0.6659663866	0.931670351
26	0.6701680672	0.927081465
27	0.6713685474	0.9227904554
28	0.6767707083	0.9184597253
29	0.6767707083	0.9141954847
30	0.6794717887	0.9101379063
31	0.6785714286	0.906373593
32	0.681272509	0.9017894279
33	0.68727491	0.8980486599
34	0.6842737095	0.8939310816
35	0.6878751501	0.8902550022
36	0.6887755102	0.8864333769
37	0.6911764706	0.8834745923
38	0.6902761104	0.8805637761
39	0.6929771909	0.8770517025
40	0.6956782713	0.8724885923
41	0.6983793517	0.868299286
42	0.7010804322	0.8647029323
43	0.7028811525	0.8614332439
44	0.7049819928	0.8577595651
45	0.7073829532	0.8555847095
46	0.7100840336	0.8527376484
47	0.7130852341	0.8499312594
48	0.7151860744	0.8469119602
49	0.7157863145	0.8441172161
50	0.7178871549	0.8400920422
51	0.7211884754	0.8362954748
52	0.7220888355	0.8336555979
53	0.724789916	0.8296644152
54	0.7277911164	0.8271894321
55	0.7274909964	0.8250980589
56	0.7277911164	0.8223317086
57	0.7301920768	0.8188858743
58	0.7316926771	0.8152223011
59	0.7322929172	0.8129199254
60	0.7355942377	0.8106453826
61	0.737695078	0.8078137849
62	0.7394957983	0.8039561753
63	0.7424969988	0.8011805322
64	0.743997599	0.7983035827
65	0.7445978391	0.7952851164
66	0.7457983193	0.7933619719
67	0.7475990396	0.7911475946
68	0.74969988	0.7887173988
69	0.7506002401	0.7856016555
70	0.7518007203	0.7828620348
71	0.7530012005	0.7803116213
72	0.7569027611	0.777575425
73	0.7569027611	0.7754362238
74	0.7590036014	0.7731357414
75	0.7602040816	0.7707694248
76	0.762304922	0.7679532697
77	0.7629051621	0.7660719567
78	0.7662064826	0.7639847932
79	0.7653061224	0.7613541545
80	0.7695078031	0.7588272013
81	0.7701080432	0.7570231143
82	0.7719087635	0.7559418544
83	0.7710084034	0.7531285656
84	0.7728091236	0.7515661228
85	0.7767106843	0.7490590824
86	0.7779111645	0.7470862001
87	0.7785114046	0.7443733828
88	0.7818127251	0.7421011067
89	0.7839135654	0.7398751655
90	0.7824129652	0.7385048465
91	0.7863145258	0.735821569
92	0.787515006	0.733745948
93	0.7890156062	0.731608923
94	0.7908163265	0.7286785293
95	0.7932172869	0.7274697131
96	0.7941176471	0.7260175643
97	0.7953181273	0.7235881422
98	0.7965186074	0.7211566686
99	0.7962184874	0.7191422381
100	0.7995198079	0.7168797375
101	0.8019207683	0.7156354711
102	0.8043217287	0.712665512
103	0.8043217287	0.7102111839
104	0.8049219688	0.707562148
105	0.8082232893	0.7051274262
106	0.8088235294	0.7038772909
107	0.8106242497	0.7021468858
108	0.81242497	0.7004431429
109	0.8139255702	0.6988066903
110	0.8130252101	0.697444431
111	0.8139255702	0.695767467
112	0.8154261705	0.6945200105
113	0.8148259304	0.6930099199
114	0.8178271309	0.6911465781
115	0.8175270108	0.689716915
116	0.8205282113	0.6879985202
117	0.8211284514	0.6855875001
118	0.8220288115	0.683776267
119	0.8232292917	0.6819502536
120	0.8241296519	0.679854206
121	0.8229291717	0.6784964342
122	0.8256302521	0.6769157192
123	0.8256302521	0.6754179889
124	0.8256302521	0.6738043916
125	0.824729892	0.6722039788
126	0.8271308523	0.6705189587
127	0.8283313325	0.6684959757
128	0.8292316927	0.6667359781
129	0.8301320528	0.6647585947
130	0.8325330132	0.6630026979
131	0.8343337335	0.6612696006
132	0.8340336134	0.6595335955
133	0.8337334934	0.6576081794
134	0.8346338535	0.6564710011
135	0.8355342137	0.6547746961
136	0.8370348139	0.6520924802
137	0.8385354142	0.6504959941
138	0.8388355342	0.6485682796
139	0.8391356543	0.6474317185
140	0.8406362545	0.6453699024
141	0.8412364946	0.6432515685
142	0.8424369748	0.6418621674
143	0.8454381753	0.6406752111
144	0.8469387755	0.638530159
145	0.8475390156	0.6371339555
146	0.8478391357	0.6354677261
147	0.8496398559	0.6337951871
148	0.850240096	0.6322855697
149	0.8508403361	0.6308645544
150	0.8523409364	0.6294732904
151	0.8523409364	0.6281054095
152	0.8556422569	0.6256040384
153	0.856242497	0.6237577861
154	0.856542617	0.6217270237
155	0.8568427371	0.6204130896
156	0.856542617	0.6191177041
157	0.8583433373	0.6173966171
158	0.8601440576	0.6158823567
159	0.8616446579	0.6143543622
160	0.8616446579	0.6134407627
161	0.862545018	0.6122381303
162	0.8640456182	0.6099526516
163	0.8661464586	0.6083641764
164	0.8676470588	0.60681228
165	0.868547419	0.6057648931
166	0.8694477791	0.603412868
167	0.8694477791	0.6021181052
168	0.8703481393	0.6008544379
169	0.8715486194	0.5994190181
170	0.8721488595	0.598214458
171	0.8730492197	0.5969702173
172	0.8742496999	0.5958835964
