iter	Passed	Remaining
0	42	12797
1	84	12627
2	126	12525
3	168	12443
4	213	12612
5	258	12643
6	300	12587
7	342	12505
8	384	12433
9	426	12380
10	470	12360
11	511	12283
12	554	12231
13	594	12149
14	636	12087
15	679	12052
16	722	12030
17	767	12020
18	811	12004
19	853	11952
20	895	11897
21	938	11854
22	981	11826
23	1025	11797
24	1068	11753
25	1110	11700
26	1153	11658
27	1195	11612
28	1236	11556
29	1279	11519
30	1322	11477
31	1364	11429
32	1405	11370
33	1446	11317
34	1488	11270
35	1532	11238
36	1577	11211
37	1627	11220
38	1684	11273
39	1738	11299
40	1785	11276
41	1829	11239
42	1872	11189
43	1914	11137
44	1957	11094
45	2000	11046
46	2043	11002
47	2087	10959
48	2131	10920
49	2174	10870
50	2217	10825
51	2261	10786
52	2306	10748
53	2350	10707
54	2396	10674
55	2441	10637
56	2485	10597
57	2536	10582
58	2586	10563
59	2635	10540
60	2682	10508
61	2727	10469
62	2772	10428
63	2815	10382
64	2861	10344
65	2903	10294
66	2945	10244
67	2989	10199
68	3034	10158
69	3076	10109
70	3118	10057
71	3159	10004
72	3200	9952
73	3243	9907
74	3284	9852
75	3327	9807
76	3369	9758
77	3413	9714
78	3456	9669
79	3501	9627
80	3545	9584
81	3589	9542
82	3633	9499
83	3677	9457
84	3722	9416
85	3767	9374
86	3812	9332
87	3854	9286
88	3899	9244
89	3943	9202
90	3986	9156
91	4029	9110
92	4073	9066
93	4116	9020
94	4161	8980
95	4205	8937
96	4249	8894
97	4293	8850
98	4337	8807
99	4381	8763
100	4425	8719
101	4469	8676
102	4515	8636
103	4559	8593
104	4604	8552
105	4654	8518
106	4705	8487
107	4754	8451
108	4800	8411
109	4844	8367
110	4887	8321
111	4928	8272
112	4968	8222
113	5011	8177
114	5053	8129
115	5095	8082
116	5136	8034
117	5178	7987
118	5224	7947
119	5268	7902
120	5312	7858
121	5357	7817
122	5403	7775
123	5445	7728
124	5487	7682
125	5532	7639
126	5576	7596
127	5619	7551
128	5662	7505
129	5706	7462
130	5751	7419
131	5794	7374
132	5836	7328
133	5877	7280
134	5918	7233
135	5960	7188
136	6002	7141
137	6043	7094
138	6085	7048
139	6127	7003
140	6168	6955
141	6208	6908
142	6248	6860
143	6290	6814
144	6331	6767
145	6372	6722
146	6414	6676
147	6457	6632
148	6499	6586
149	6540	6540
150	6583	6496
151	6624	6450
152	6666	6405
153	6708	6360
154	6750	6315
155	6794	6271
156	6841	6231
157	6889	6191
158	6939	6154
159	6985	6112
160	7028	6068
161	7073	6025
162	7118	5982
163	7162	5939
164	7206	5896
165	7251	5853
166	7295	5810
167	7339	5766
168	7383	5723
169	7428	5680
170	7470	5635
171	7517	5594
172	7560	5550
