track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_class
2DMqiPZ8uLE2AtwHLInHOI,Silverskin,Sam Feldt,8,3DXfe2cEsCdAjORfXw0NDK,Sunrise To Sunset,2017-11-24,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.749,0.52,10,-8.604,1,0.0456,0.224,0.000503,0.0982,0.759,96.023,151219,low
510UgVCpnUaQ5ACHW2J8gu,Recognise,Lost Frequencies,60,03qoJ4Ioczrn4dBFrKRHxU,Recognise,2019-03-08,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.717,0.741,10,-6.645,0,0.053,0.155,0.0,0.133,0.188,105.997,186062,medium
7oxHEN7q9V67XUReaq0txr,Handful Of Gold - Hounded Remix,CAZZETTE,50,2lcQOnaDZFj0ZSH386B3R8,Handful Of Gold (Remixes II),2017-07-21,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.735,0.585,1,-9.673,1,0.0475,0.12,7.65e-05,0.073,0.13,120.008,250000,medium
3876zu2BcDL39vLkkJGKLZ,Messiah,Klingande,44,7jIoj0HfLJpyzq5aDN1gPh,Messiah (The Mixes),2019-10-18,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.61,0.748,10,-6.856,0,0.0475,0.0736,0.0,0.112,0.624,100.007,184200,medium
4w3InOZmItJiSlhnkr3lv6,Never Alone,Felix Jaehn,67,3MdfIe4hKDL59tOpVwC7DW,Never Alone,2019-09-27,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.675,0.827,8,-4.793,0,0.038,0.0559,2.46e-06,0.126,0.446,125.988,176594,high
12f3UbBnYHrZ7vbRXfyDA9,Better Off Alone,Y.V.E. 48,56,0jgtY27DegnKHYZKR2ZP85,Better Off Alone,2019-10-18,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.721,0.508,1,-9.208,0,0.0809,0.0571,0.0116,0.109,0.181,111.955,173500,medium
4kIYLdQ0eoiZaVrGVWLvqn,Are You Mine,Alex Schulz,54,3qBbXUvA3V4814pbJh08sF,Are You Mine,2019-05-31,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.613,0.694,2,-5.462,1,0.0314,0.104,2.7e-06,0.0571,0.589,125.989,209477,medium
0toJeVTW2hHX9qYVmdOpBs,Electric Feel (Kygo Remix),Henry Green,57,5wpZhWqsoXKBcVwvcEtCvv,Electric Feel,2017-08-09,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.709,0.369,4,-13.104,0,0.0488,0.238,0.168,0.0704,0.373,102.01,390649,medium
2vajU8g5DJCuthr5pb7RVT,Déjà Vu,Sam Feldt,7,3DXfe2cEsCdAjORfXw0NDK,Sunrise To Sunset,2017-11-24,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.748,0.475,0,-11.256,1,0.0279,0.13,6.09e-05,0.0755,0.408,119.994,176910,low
4w5Grfxx5Rpup6mo5v6bW0,Beat Of My Heart,Lost Frequencies,67,6NQRmMazNOKi0IiIXlNzGh,Alive And Feeling Fine,2019-10-04,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.706,0.524,6,-8.804,1,0.026,0.127,0.00129,0.109,0.296,111.991,183183,high
0hsMhZA3gguNuHOcDsGmOf,We Start Fires,Little Giants,47,4exjA36NpcCqgSejlIVkaL,We Start Fires,2016-10-21,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.676,0.903,9,-5.856,1,0.0534,0.0333,1.58e-06,0.281,0.349,119.98,228000,medium
200UDgTJl6xvSejJzMP6Ne,Whatever You Like - Radio Edit,Dasco,50,6ZdIp3hlkuZvNceiXKMFqg,Whatever You Like,2018-02-23,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.674,0.805,2,-4.867,1,0.0401,0.0401,4.58e-05,0.3,0.537,109.998,165829,medium
70PH29yzcK8ZQVseOZlAJG,Save Tonight,Sam Feldt,7,3DXfe2cEsCdAjORfXw0NDK,Sunrise To Sunset,2017-11-24,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.632,0.776,1,-7.4,1,0.0288,0.101,2.71e-06,0.283,0.236,114.996,165645,low
7MUazB4rGIqFFIkjT95rCO,Baianá,Bakermat,54,7ImQIxwDqi9OKS93QMsKQN,Baianá,2019-07-26,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.564,0.723,2,-6.983,0,0.0702,0.000741,0.672,0.543,0.466,121.97,180843,medium
1gAbEXZi4ZrmA5KPQARXrD,Ha Leh Lou Ya,Robin Schulz,54,4iu0toRdSjyU0qIdKTWMoY,Uncovered,2017-09-29,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.708,0.777,0,-6.232,0,0.113,0.0097,2.62e-05,0.113,0.298,120.017,217853,medium
