track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_class
6f807x0ima9a1j3VPbc7VN,I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,2oCs0DGTsRO98Gh5ZSl2Cx,I Don't Care (with Justin Bieber) [Loud Luxury Remix],2019-06-14,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.748,0.916,6,-2.634,1,0.0583,0.102,0.0,0.0653,0.518,122.036,194754,medium
0r7CVbZTWZgbTCYdfa2P31,Memories - Dillon Francis Remix,Maroon 5,67,63rPSO264uRjW1X5E6cWv6,Memories (Dillon Francis Remix),2019-12-13,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.726,0.815,11,-4.969,1,0.0373,0.0724,0.00421,0.357,0.693,99.972,162600,high
1z1Hg7Vb0AhHDiEmnDE79l,All the Time - Don Diablo Remix,Zara Larsson,70,1HoSmj2eLcsrR0vE9gThr4,All the Time (Don Diablo Remix),2019-07-05,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.675,0.931,1,-3.432,0,0.0742,0.0794,2.33e-05,0.11,0.613,124.008,176616,high
75FpbthrwQmzHlBJLuGdC7,Call You Mine - Keanu Silva Remix,The Chainsmokers,60,1nqYsOef1yKKuGOVchbsk6,Call You Mine - The Remixes,2019-07-19,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.718,0.93,7,-3.778,1,0.102,0.0287,9.43e-06,0.204,0.277,121.956,169093,medium
1e8PAfcKUYoKkxPhrHqw4x,Someone You Loved - Future Humans Remix,Lewis Capaldi,69,7m7vv9wlQ4i0LFuJiE2zsQ,Someone You Loved (Future Humans Remix),2019-03-05,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.65,0.833,1,-4.672,1,0.0359,0.0803,0.0,0.0833,0.725,123.976,189052,high
7fvUMiyapMsRRxr07cU8Ef,Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,2yiy9cd2QktrNvWC2EUi0k,Beautiful People (feat. Khalid) [Jack Wins Remix],2019-07-11,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.675,0.919,8,-5.385,1,0.127,0.0799,0.0,0.143,0.585,124.982,163049,high
2OAylPUDDfwRGfe0lYqlCQ,Never Really Over - R3HAB Remix,Katy Perry,62,7INHYSeusaFlyrHSNxm8qH,Never Really Over (R3HAB Remix),2019-07-26,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.449,0.856,5,-4.788,0,0.0623,0.187,0.0,0.176,0.152,112.648,187675,medium
6b1RNvAcJjQH73eZO4BLAB,Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,69,6703SRPsLkS4bPtMFFJes1,Post Malone (feat. RANI) [GATTÜSO Remix],2019-08-29,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.542,0.903,4,-2.419,0,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,207619,high
1IXGILkPm0tOCNeq00kCPa,If I Can't Have You - Gryffin Remix,Shawn Mendes,67,4QxzbfSsVryEQwvPFEV5Iu,If I Can't Have You (Gryffin Remix),2019-06-20,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.642,0.818,2,-4.552,1,0.032,0.0567,0.0,0.0919,0.59,124.957,253040,high
3eFJI470ALf1EYjywPRsJy,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,49bXZtlI5kQSqQMSCnSaWO,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],2019-06-21,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.679,0.923,6,-6.5,1,0.181,0.146,4.92e-06,0.124,0.752,121.984,207894,medium
3iJeF2izF1QcpCgUc97BLl,Hate Me - R3HAB Remix,Ellie Goulding,67,6e6RVFWdZaoTiLAZOCMnps,Hate Me (R3HAB Remix),2019-08-16,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.437,0.774,8,-4.918,1,0.0554,0.148,0.0,0.133,0.329,123.125,203733,high
6e0CvGZf7CouOpYF8toXHC,Body On My,Loud Luxury,67,2R66I0nzp3NnuUlzIGWQ5P,Body On My,2019-03-29,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.744,0.726,1,-4.675,1,0.0463,0.0399,0.0,0.374,0.687,121.985,192507,high
3eLdNmnRWr9gIyBcqTSSti,SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68,7Al4TIo0c5twNLfdOh1y1u,SOS (Laidback Luke Tribute Remix),2019-05-17,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.572,0.915,5,-4.451,0,0.0625,0.0111,0.0,0.339,0.678,123.919,164516,high
1EJgymgJHcjSOGSHcYaxvW,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,1imXAvLuowvPYIsFMYUPY0,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],2019-12-11,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.805,0.835,0,-4.603,1,0.0896,0.13,5.03e-06,0.365,0.722,125.028,188230,medium
5WaXMQMlQpq8pwIdaFP43L,All My Friends - Eden Prince Remix,AJ Mitchell,60,4lXBBbiEgwTzcfAkqdXJV1,All My Friends (Eden Prince Remix),2019-05-03,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.694,0.901,1,-4.322,0,0.0948,0.0702,0.0,0.427,0.368,118.051,173548,medium
0GfS3y8Jd7SHWd9R51s7Fo,Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,69,2LDzwN4iZ4qbSA32E9CG4Q,Dancing With A Stranger (With Normani) [Cheat Codes Remix],2019-03-08,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.746,0.557,1,-6.722,1,0.0542,0.103,0.0036,0.138,0.324,111.961,159404,high
4QAUGy6k7c3IOAhgWz52r7,Heaven - David Guetta & MORTEN Remix,Avicii,70,37bCTD5iLWMpDcBanNkkXB,Heaven (David Guetta & MORTEN Remix),2019-08-23,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.572,0.934,6,-5.053,0,0.0446,0.00292,0.0198,0.105,0.204,125.948,215238,high
3Ciaf6WgvG95TGRGxQ1yO8,All Around The World (La La La) - Marnik Remix,R3HAB,64,5r998zJ0MNYb2TTxyQmjxT,All Around The World (La La La) [Marnik Remix],2019-08-23,Pop Remix,37i9dQZF1DXcZDD7cfEKhW,pop,dance pop,0.708,0.913,9,-4.329,0,0.0348,0.089,0.081,0.113,0.707,135.016,170667,medium
