track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_class,smooth_factor,groove,soul_vibe,chillness
6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,Tyga,91,3Cse4lihKX7ww99QnZGQAh,Ayy Macarena,2019-11-13,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.816,0.63,2,-5.568,1,0.226,0.133,0.0,0.0692,0.715,96.493,131607,high,0.03790500000000001,0.51408,0.26455,0.108528
7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,89,1Sf8GsXG32t0jNrX11xqWx,JACKBOYS,2019-12-27,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.559,0.491,2,-6.406,0,0.0346,0.0567,0.0,0.0992,0.114,153.131,244874,high,0.0502362,0.274469,0.058026,0.0316953
6lruHh1jF7ezgbLv72xYmf,FML,Arizona Zervas,82,0tzusAckn6CYqaCBRJHiAh,Living Facts,2018-06-03,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.822,0.575,5,-5.95,1,0.0934,0.113,0.0,0.106,0.616,100.087,223000,high,0.043392,0.47264999999999996,0.26180000000000003,0.092886
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),JACKBOYS,87,1Sf8GsXG32t0jNrX11xqWx,JACKBOYS,2019-12-27,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,157712,high,0.0071864,0.473982,0.12638100000000002,0.0083408
6MO2bfLHKykUgCChFdw91H,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)",H.E.R.,61,7LMJKPGcBZjZf6AEnTBS2t,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)",2020-01-17,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.815,0.513,1,-8.363,1,0.244,0.0145,0.000102,0.14,0.17,96.982,296011,medium,0.012035,0.418095,0.08279,0.0118175
1ZPWWSwCkxKfqdp4H0RFCo,ROXANNE,Arizona Zervas,71,1BAHbTOKeZ1w0DeFSVi5Tn,ROXANNE,2019-10-10,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,high,0.028344599999999998,0.37322099999999997,0.182343,0.0324162
54yCP5dfn4uvU5h37aE8f4,Out Of Your Mind (feat. Swae Lee & Chris Brown),French Montana,75,1jJdkoOAj3Uk6Tbv3S4fsa,MONTANA,2019-12-06,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.718,0.882,4,-4.677,0,0.0521,0.0229,0.0286,0.102,0.611,95.005,194171,high,0.0089081,0.633276,0.072098,0.0164422
6uJONCdr2rC65BNmCnTBWK,GANG GANG,JACKBOYS,84,1Sf8GsXG32t0jNrX11xqWx,JACKBOYS,2019-12-27,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.859,0.6,7,-4.63,0,0.301,0.071,0.0,0.353,0.568,123.017,244761,high,0.030672,0.5154,0.22719999999999999,0.060988999999999995
1iSqfoUFnQwV0QW1EfUit8,Suicidal,YNW Melly,90,5xq6RMHNIBA73qld03dR6V,Melly vs. Melvin,2019-11-22,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.736,0.369,9,-9.682,0,0.0688,0.334,0.0,0.126,0.235,140.005,222997,high,0.25551,0.271584,0.148285,0.24582400000000001
2BWXfyYzeLcK0pbvPp9Itw,Richer Than Ever,Fivio Foreign,40,4qxqWGRnfYcsP4kzF94Ceq,Richer Than Ever,2020-01-17,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.715,0.537,9,-9.414,1,0.279,0.00235,0.0,0.358,0.287,142.952,185443,medium,0.0016755500000000003,0.383955,0.13288099999999997,0.0016802499999999999
4IO8X9W69dIQe0EC5ALXhq,Immortal,21 Savage,83,7xgzD7onYd1Pms93ZOtxxX,Immortal,2019-10-31,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.741,0.87,6,-3.494,0,0.503,0.00813,0.0,0.114,0.663,184.194,254723,high,0.0027398099999999996,0.64467,0.08619,0.00602433
