track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
366S9c0rQtvrkclcCSRNmB,"Disease - KATFYR ""Tokyo Bound"" Remix",Naeleck,43,4s3VdQXA9G1RA2a4RrCCKN,Disease,2013-09-16,Electro House 2020,317O0e8iWJLClLGDKtieRe,edm,electro house,0.677,0.926,0,-3.307,1,0.0456,0.00298,0.507,0.337,0.108,128.014,288867
0nEeyKLtk5vTlbcdvgrCOH,Infinite Ammo,Le Castle Vania,46,3AdNvHp7wzEBY0DYz8Oiq6,Payday,2015-10-23,Electro House 2020,317O0e8iWJLClLGDKtieRe,edm,electro house,0.597,0.96,7,-1.94,0,0.0627,9.38e-05,0.89,0.325,0.144,127.016,232637
4gxukDJiwApNEgVIh4pHgT,WOW,Tiësto,10,4I2qcrUxk37AoJOMjiOCvu,WOW,2018-08-24,Electro House 2020,317O0e8iWJLClLGDKtieRe,edm,electro house,0.601,0.99,6,-3.016,1,0.337,0.00116,0.52,0.124,0.192,127.958,148125
3mLLlN1ZdHmlJHkvNON7ou,Threnody - Bombs Away Remix,Naeleck,50,2CUUZuC9EhMcnU7zdNWWrI,Threnody,2016-12-26,Electro House 2020,317O0e8iWJLClLGDKtieRe,edm,electro house,0.836,0.926,2,-3.728,1,0.0495,0.000389,0.32,0.203,0.148,127.977,247309
17NCISfYJl0GITXs8G75Ae,Loudness War,Fukkk Offf,33,0vXDfJsurQa6rZayRwvgtQ,Loudness War,2019-07-12,Electro House 2020,317O0e8iWJLClLGDKtieRe,edm,electro house,0.843,0.844,2,-4.779,1,0.0749,0.000609,0.166,0.0458,0.727,127.98,285000
0qqgd6DGBRaI8oI0opqW0S,Deja Vu,Wolfgang Gartner,36,61q8dE6rffx7yRsYaoyobu,Medicine,2018-11-02,Electro House 2020,317O0e8iWJLClLGDKtieRe,edm,electro house,0.662,0.665,3,-5.689,0,0.18,0.000519,0.0515,0.118,0.332,127.936,210234
229MM2St7SnW43nT8ADlG8,Game Time (feat. Ninja),3LAU,51,1ZTTtYiivr4tUgHLt1f0Nh,Game Time (feat. Ninja),2018-11-30,Electro House 2020,317O0e8iWJLClLGDKtieRe,edm,electro house,0.534,0.957,1,-4.025,1,0.0455,8.05e-05,0.758,0.266,0.52,95.046,156632
72qHiPkoZdxpkhyBPvehRB,Rave,SOVTH,25,2VeB0Us6Pu42rgmtzdv4hI,Rave,2019-12-13,Electro House 2020,317O0e8iWJLClLGDKtieRe,edm,electro house,0.786,0.955,5,-6.369,0,0.0606,0.000906,0.849,0.396,0.745,125.996,200015
1ctoZDhYkpKa0o9B9Wjen3,Outlaw,Bassjackers,38,6MnnkXC0DBgjc9mFxJ585V,The Biggest,2019-11-22,Electro House 2020,317O0e8iWJLClLGDKtieRe,edm,electro house,0.674,0.881,1,-4.15,0,0.0573,0.00792,0.576,0.127,0.0475,104.962,184716
4WlBtGJRZgJjWikusfISrj,Bang,RICCI,59,2llnqXScb5cQhBNw4dhd7h,Bang,2019-12-27,Electro House 2020,317O0e8iWJLClLGDKtieRe,edm,electro house,0.876,0.824,1,-6.292,1,0.101,0.11,0.739,0.0828,0.725,123.007,176000
3A0X0wsZIvlsMdb7ZA57pM,My Shit Bang,Awnix & Toobaï,30,7tC0sDdSvPPmBMIgjlPGgz,My Shit Bang,2019-11-08,Electro House 2020,317O0e8iWJLClLGDKtieRe,edm,electro house,0.941,0.944,6,-4.094,1,0.235,0.00419,0.0215,0.0896,0.573,124.042,196089
7G2Ax4k5WN0fGlQZQKWXwr,Get Away (feat. Rama Duke),Breathe Carolina,53,0yVKYfVfmlwiRV0v5oX2vb,Get Away (feat. Rama Duke),2019-06-21,Electro House 2020,317O0e8iWJLClLGDKtieRe,edm,electro house,0.516,0.958,0,-1.802,0,0.0698,0.00323,8.65e-05,0.315,0.538,126.039,126190
