track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),Future,93,5uCEoLCj3ZZZ1EtzQdQWVl,Life Is Good (feat. Drake),2020-01-10,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735
0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,98,52u4anZbHd6UInnmHRFzba,Please Excuse Me For Being Antisocial,2019-12-06,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653
3R8CyhJfVjvgIROd5RSGhQ,I Can See,Mac Miller,73,5sY6UIQ32GqwMLAfSNEaXb,Circles,2020-01-17,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.699,0.503,5,-9.922,0,0.0882,0.391,0.0126,0.0996,0.0546,114.86,220853
2Ec33AVlkTTq8BHFgBTdQs,Futsal Shuffle 2020,Lil Uzi Vert,91,4uTOUYhLrGRKkfxfPKTkuy,Futsal Shuffle 2020,2019-12-12,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.881,0.457,7,-8.191,0,0.156,0.0327,0.0,0.231,0.296,136.97,198913
7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),Eminem,79,4otkd9As6YaxxEkIjXPiZ6,Music To Be Murdered By,2020-01-17,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,210800
2u3EyuCqqV31woqGvO9LBz,Sum 2 Prove,Lil Baby,81,7KPtAktRGrVjy0QV3MXnZk,Sum 2 Prove,2020-01-10,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.823,0.552,4,-7.57,0,0.324,0.0174,0.0,0.122,0.418,124.038,205760
2YwC2IM0ykBxtMBH9aMe5m,Money Talk,Rich The Kid,64,7BdXFwf9b2bnQ8w9A7GYwE,Money Talk,2020-01-17,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.804,0.641,10,-6.2,0,0.261,0.0313,0.0,0.148,0.576,154.967,174640
6Ozh9Ok6h4Oi1wUSLtBseN,BOP,DaBaby,93,1NsTSXjVNE7XmZ8PmyW0wl,KIRK,2019-09-27,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,159715
5rSVQzJQ5nMUcFJDkJMfzL,First Place,Polo G,60,3IUuhdkjrVNZQZK9V1rB3q,First Place,2020-01-17,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.656,0.566,0,-9.501,1,0.339,0.0125,0.0,0.0655,0.563,137.215,199992
1lO9CZo6eDrOy0S7khgryG,No Regrets (feat. Don Toliver),Eminem,71,4otkd9As6YaxxEkIjXPiZ6,Music To Be Murdered By,2020-01-17,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.756,0.747,9,-5.407,1,0.046,0.0048,0.00536,0.588,0.0687,134.935,200947
1iSqfoUFnQwV0QW1EfUit8,Suicidal,YNW Melly,90,5xq6RMHNIBA73qld03dR6V,Melly vs. Melvin,2019-11-22,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.736,0.369,9,-9.682,0,0.0688,0.334,0.0,0.126,0.235,140.005,222997
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),JACKBOYS,87,1Sf8GsXG32t0jNrX11xqWx,JACKBOYS,2019-12-27,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,157712
2FvD20Z8aoWIePi7PoN8sG,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,86,1NsTSXjVNE7XmZ8PmyW0wl,KIRK,2019-09-27,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.816,0.582,8,-4.141,1,0.341,0.0794,5.84e-06,0.0916,0.542,160.004,136366
35Ycb1cMPK6tyNMsTepijg,Dead Man Walking (feat. Future),2 Chainz,63,5v7NpK7CAZ6IDdKiUXCtAl,Dead Man Walking,2020-01-17,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.848,0.699,5,-5.425,0,0.157,0.0401,0.0,0.148,0.535,150.024,135507
598yNsG1JFrGd4n2kMoz7F,Woah,Lil Baby,88,393l0NdTr8Rv0hybf4FTxy,Woah,2019-11-08,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.882,0.602,11,-5.554,1,0.245,0.0177,0.0,0.178,0.43,142.959,183011
6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),Juice WRLD,92,3t6Z2qoBVCS4NHNI25XECH,Bandit (with YoungBoy Never Broke Again),2019-10-04,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323
0jBJIQuToUUOEx7JJkiPzm,How I Move (feat. Lil Baby),Flipp Dinero,80,7EvmUXEmIRkFwd2nPVmFiP,How I Move (feat. Lil Baby),2019-11-15,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.826,0.635,5,-5.181,0,0.212,0.102,0.0,0.245,0.808,119.954,224916
4bl1HBZliBuYpFZjWgefE4,Peta (feat. Meek Mill),Roddy Ricch,84,52u4anZbHd6UInnmHRFzba,Please Excuse Me For Being Antisocial,2019-12-06,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.778,0.573,10,-7.339,0,0.251,0.015,0.0,0.464,0.269,140.114,198849
6YfTl5YupXOQBKiJJLrxcw,Death (feat. DaBaby),Trippie Redd,82,0wb2DaHDhLUUS5RRFa26U9,Death (feat. DaBaby),2019-11-12,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.802,0.82,10,-5.969,0,0.146,0.0579,0.0,0.149,0.613,164.005,172196
56AMYGJzxBO6p8v0wEe9de,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,86,7hXWMVDn9SVV7zNYiQGvWO,Hot (Remix) [feat. Gunna and Travis Scott],2019-11-01,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.845,0.631,7,-8.206,0,0.216,0.188,0.0,0.0806,0.545,111.983,279907
5FkoSXiJPKTNyYgALRJFhD,ORANGE SODA,Baby Keem,83,7Cw4LObzgnVqSlkuIyywtI,DIE FOR MY BITCH,2019-07-19,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.83,0.564,1,-7.822,1,0.235,0.177,0.0,0.128,0.107,85.042,129882
07KXEDMj78x68D884wgVEm,High Fashion (feat. Mustard),Roddy Ricch,83,52u4anZbHd6UInnmHRFzba,Please Excuse Me For Being Antisocial,2019-12-06,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,220487
0fySG6A6qLE8IvDpayb5bM,VIBEZ,DaBaby,88,1NsTSXjVNE7XmZ8PmyW0wl,KIRK,2019-09-27,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.768,0.652,1,-2.708,0,0.307,0.113,0.0,0.107,0.777,154.187,144935
3RZftiuTcLOqpsd8ZlwNhr,Hop Off A Jet (feat. Travis Scott),Young Thug,82,24jAbLMFzCTlIv3kQ94HwK,So Much Fun (Deluxe),2019-12-20,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.823,0.476,7,-8.951,1,0.242,0.0115,0.0,0.213,0.353,144.998,174067
09TZsMHXEtQkdmMJZPLKup,UP THE SMOKE (with Offset),Stunna 4 Vegas,81,1ID5rMIT1C61W2OLQ3rctp,UP THE SMOKE (with Offset),2019-11-08,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.907,0.765,4,-7.043,1,0.426,0.0512,0.0,0.153,0.896,142.992,188048
3Gzcb65waeZYidm0vSaelM,Red Light,Tee Grizzley,56,3QqkbNMuerqYvLZcDGp9zk,Red Light,2020-01-17,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.846,0.716,1,-5.516,1,0.236,0.00101,0.0,0.244,0.213,98.005,127347
3VyjsVV24RmBIbWJAeUJNu,No Idea,Don Toliver,92,1jAxVdQ2FFtbHu6kLNM0au,No Idea,2019-05-29,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.656,0.614,6,-4.973,0,0.102,0.558,0.000862,0.215,0.35,128.038,153750
735RSTb2xbtWbDtKD9XDYi,Somebody,Internet Money,83,2tGRWs8mrUVyjgbMIQpWQN,Somebody,2019-10-11,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.63,0.671,6,-6.659,0,0.256,0.363,0.0,0.113,0.333,89.921,174333
35Xf2ABjPzUXKz19akd7Jj,Famous Hoes,NLE Choppa,80,6KuvJ7yluj7KuMDm9ydXM1,Famous Hoes,2019-12-10,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.732,0.627,4,-5.693,0,0.161,0.346,0.0,0.261,0.332,81.481,135460
0eHFPf7gom9ztF7Jc6FP6C,What I Please (feat. Denzel Curry),Smokepurpp,74,7aes7mxj0sET2iX0v9kQrI,What I Please (feat. Denzel Curry),2019-12-11,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.803,0.709,10,-8.164,0,0.327,0.0352,0.0,0.122,0.54,139.877,140591
3yD2LWeCCFu7ybBO3lwbXM,U Played (feat. Lil Baby),Moneybagg Yo,73,0gpeQVeYLbbBrhnfbOEqjE,U Played (feat. Lil Baby),2020-01-03,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.876,0.847,2,-3.574,1,0.232,0.00335,0.0,0.293,0.882,134.963,164754
6klLvorLoo1sxvZcjJIY8I,Make No Sense,YoungBoy Never Broke Again,84,1nzUj7VkiaytMmf2KrhK2L,AI YoungBoy 2,2019-10-11,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.876,0.733,10,-4.478,0,0.333,0.0208,0.0,0.0999,0.962,154.904,148630
05JdgtCKkZ5CoOjM5KS4EG,"Camelot (feat. Yo Gotti, BlocBoy JB & Moneybagg Yo) - Remix",NLE Choppa,77,58gXxUxvp38hNEXjplbw4m,"Camelot (feat. Yo Gotti, BlocBoy JB & Moneybagg Yo) [Remix]",2019-12-06,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.79,0.88,7,-1.983,1,0.376,0.324,0.0,0.0829,0.857,175.013,198694
7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,89,1Sf8GsXG32t0jNrX11xqWx,JACKBOYS,2019-12-27,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.559,0.491,2,-6.406,0,0.0346,0.0567,0.0,0.0992,0.114,153.131,244874
7tgjDlQsMR8RvkdlNCJA58,6 Kiss,Trippie Redd,83,0tKX7BLXiiRgXUKYdJzjEz,A Love Letter To You 4,2019-11-22,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.687,0.449,2,-10.061,1,0.154,0.109,0.0,0.282,0.229,142.048,199437
4IO8X9W69dIQe0EC5ALXhq,Immortal,21 Savage,83,7xgzD7onYd1Pms93ZOtxxX,Immortal,2019-10-31,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.741,0.87,6,-3.494,0,0.503,0.00813,0.0,0.114,0.663,184.194,254723
66FltlEV09mPJYAyfYm8De,Bang Bang,YNW Melly,78,5xq6RMHNIBA73qld03dR6V,Melly vs. Melvin,2019-11-22,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.657,0.522,10,-7.632,1,0.397,0.156,0.0,0.0811,0.442,179.687,260333
1K2xWMZP8mgMXAR5SpcLQu,Heart On Ice - Remix,Rod Wave,70,3ABE0hL9SKgk6pxrH39Zym,Ghetto Gospel,2019-11-01,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.762,0.372,10,-11.26,0,0.174,0.165,0.0,0.139,0.315,79.037,195190
364spZLB5bhNlnPrzvUB41,Reply (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,79,4PRKR5s0uRpu1KfyJCdVHk,Reply (feat. Lil Uzi Vert),2019-11-15,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.512,0.623,9,-6.553,0,0.0808,0.0187,0.0,0.13,0.219,112.15,183589
3JERoo6pokCgQ81z79Jpmo,That's Tuff (feat. Quavo),Rich The Kid,75,4mJn7IXnxGkOf9J8IhC711,That's Tuff,2019-12-06,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.903,0.636,10,-4.313,0,0.205,0.635,0.0,0.0866,0.308,137.993,154000
4E08gEca6avoGx5SS4MM6T,G Walk (with Chris Brown),Lil Mosey,52,3u1dsCyCvCxk0kH1whn1oZ,G Walk (with Chris Brown),2019-06-07,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.744,0.709,0,-5.359,1,0.101,0.275,0.0,0.126,0.72,89.969,141333
050ud0e5cmIYjmXplDugVQ,Ready Set (feat. Big Sean),Kash Doll,73,3p8Vf5t8GAAJ72a6AFCMam,Stacked,2019-10-18,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.849,0.62,4,-5.921,0,0.0589,0.00252,0.000283,0.113,0.481,96.005,165375
4YrS33mjBWWchoLJTkAKwt,Go In,Lil Tjay,78,1bo658zg1INHzbKX4t4PG9,Go In,2019-12-13,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.799,0.698,9,-5.947,0,0.169,0.125,0.0,0.0778,0.799,121.998,254963
2Xo3rLHjXfdb4avN68aQyi,BEST ON EARTH (feat. BIA),Russ,82,2TBJtc64Y76xWs98Mtko07,BEST ON EARTH (feat. BIA),2019-10-18,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.568,0.764,5,-3.465,0,0.255,0.217,0.0,0.0931,0.625,179.985,160720
34e2WyzmjG2aDk7KykOOZZ,Take It Down (feat. Offset),Pardison Fontaine,72,45x9T2H8aU4ckLPOYfGucD,UNDER8ED,2019-11-15,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.917,0.494,1,-5.772,1,0.085,0.0393,0.0,0.194,0.341,143.048,208976
4DkZDzcHicZBXCEdA19oWs,Big Drip,Fivio Foreign,73,2fwB0BiqwR61u0Q86xvbFM,Pain and Love - EP,2019-11-13,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.814,0.661,0,-6.453,1,0.356,0.186,0.0,0.163,0.474,139.956,168307
